trimestre,codi_districte,codi_barri,lloguer mitjà mensual
1,1,1,734.99
1,1,2,905.26
1,1,3,722.78
1,1,4,895.28
1,2,5,871.08
1,2,6,847.04
1,2,7,1151.09
1,2,8,1001.49
1,2,9,909.08
1,2,10,876.97
1,3,11,715.71
1,3,12,421.0092307692308
1,3,13,689.16
1,3,14,806.34
1,3,15,680.17
1,3,16,739.35
1,3,17,697.58
1,3,18,737.27
1,4,19,936.32
1,4,20,896.45
1,4,21,1856.57
1,5,22,1248.0
1,5,23,1291.5
1,5,24,1516.52
1,5,25,1182.12
1,5,26,1268.61
1,5,27,913.45
1,6,28,946.59
1,6,29,687.42
1,6,30,841.38
1,6,31,837.09
1,6,32,839.29
1,7,33,743.88
1,7,34,637.3
1,7,35,722.67
1,7,36,812.93
1,7,37,597.09
1,7,38,663.9
1,7,39,622.33
1,7,40,716.43
1,7,41,816.05
1,7,42,421.0092307692308
1,7,43,669.89
1,8,44,687.37
1,8,45,654.58
1,8,46,587.02
1,8,47,421.0092307692308
1,8,48,634.54
1,8,49,689.62
1,8,50,504.31
1,8,51,595.48
1,8,52,624.58
1,8,53,540.68
1,8,54,418.07
1,8,55,459.19
1,8,56,421.0092307692308
1,9,57,497.84
1,9,58,421.0092307692308
1,9,59,622.82
1,9,60,708.6
1,9,61,575.23
1,9,62,696.04
1,9,63,716.78
1,10,64,756.57
1,10,65,774.97
1,10,66,850.73
1,10,67,1108.37
1,10,68,868.9
1,10,69,1148.2
1,10,70,588.9
1,10,71,999.62
1,10,72,742.06
1,10,73,677.91
2,1,1,714.29
2,1,2,968.16
2,1,3,738.25
2,1,4,930.13
2,2,5,884.99
2,2,6,867.97
2,2,7,1218.18
2,2,8,1044.28
2,2,9,949.96
2,2,10,887.78
2,3,11,756.8
2,3,12,421.0092307692308
2,3,13,634.28
2,3,14,785.02
2,3,15,749.61
2,3,16,760.98
2,3,17,766.05
2,3,18,780.27
2,4,19,1006.84
2,4,20,882.05
2,4,21,1666.63
2,5,22,1101.67
2,5,23,1423.86
2,5,24,1646.76
2,5,25,1236.21
2,5,26,1287.23
2,5,27,902.42
2,6,28,917.84
2,6,29,701.29
2,6,30,855.7
2,6,31,852.57
2,6,32,872.41
2,7,33,756.13
2,7,34,710.18
2,7,35,722.28
2,7,36,721.47
2,7,37,597.58
2,7,38,671.85
2,7,39,680.8
2,7,40,677.09
2,7,41,819.11
2,7,42,421.0092307692308
2,7,43,708.69
2,8,44,699.81
2,8,45,640.95
2,8,46,600.84
2,8,47,407.22
2,8,48,632.43
2,8,49,677.5
2,8,50,505.97
2,8,51,579.67
2,8,52,617.61
2,8,53,533.3
2,8,54,421.0092307692308
2,8,55,436.17
2,8,56,302.52
2,9,57,434.91
2,9,58,421.0092307692308
2,9,59,647.69
2,9,60,728.09
2,9,61,656.71
2,9,62,724.28
2,9,63,783.88
2,10,64,765.74
2,10,65,740.91
2,10,66,907.14
2,10,67,1345.63
2,10,68,899.89
2,10,69,965.36
2,10,70,606.61
2,10,71,941.16
2,10,72,750.71
2,10,73,671.87
3,1,1,764.85
3,1,2,1028.49
3,1,3,758.18
3,1,4,927.16
3,2,5,933.54
3,2,6,906.78
3,2,7,1179.11
3,2,8,1098.21
3,2,9,950.15
3,2,10,922.46
3,3,11,759.87
3,3,12,421.0092307692308
3,3,13,711.93
3,3,14,817.64
3,3,15,777.64
3,3,16,861.69
3,3,17,796.5
3,3,18,812.48
3,4,19,1013.57
3,4,20,970.71
3,4,21,1882.42
3,5,22,1360.42
3,5,23,1364.01
3,5,24,1757.0
3,5,25,1324.4
3,5,26,1377.82
3,5,27,962.41
3,6,28,912.51
3,6,29,799.44
3,6,30,804.26
3,6,31,867.94
3,6,32,880.0
3,7,33,804.26
3,7,34,698.03
3,7,35,739.68
3,7,36,922.75
3,7,37,610.13
3,7,38,643.74
3,7,39,713.38
3,7,40,749.0
3,7,41,805.87
3,7,42,421.0092307692308
3,7,43,704.57
3,8,44,750.43
3,8,45,670.43
3,8,46,613.8
3,8,47,421.0092307692308
3,8,48,625.23
3,8,49,701.5
3,8,50,560.56
3,8,51,593.64
3,8,52,625.66
3,8,53,538.45
3,8,54,463.17
3,8,55,423.09
3,8,56,421.0092307692308
3,9,57,532.33
3,9,58,421.0092307692308
3,9,59,653.72
3,9,60,744.73
3,9,61,692.49
3,9,62,761.19
3,9,63,790.19
3,10,64,797.7
3,10,65,775.27
3,10,66,905.24
3,10,67,1189.26
3,10,68,917.87
3,10,69,1093.34
3,10,70,625.13
3,10,71,933.9
3,10,72,776.09
3,10,73,711.99
4,1,1,776.73
4,1,2,993.16
4,1,3,766.03
4,1,4,914.78
4,2,5,910.78
4,2,6,877.02
4,2,7,1225.08
4,2,8,1081.29
4,2,9,957.0
4,2,10,905.83
4,3,11,760.23
4,3,12,421.0092307692308
4,3,13,728.07
4,3,14,827.36
4,3,15,771.78
4,3,16,786.53
4,3,17,772.86
4,3,18,806.56
4,4,19,1043.76
4,4,20,935.38
4,4,21,1737.92
4,5,22,1213.95
4,5,23,1334.77
4,5,24,1588.53
4,5,25,1198.24
4,5,26,1315.8
4,5,27,938.2
4,6,28,875.53
4,6,29,711.57
4,6,30,741.29
4,6,31,879.85
4,6,32,862.51
4,7,33,773.02
4,7,34,693.65
4,7,35,759.06
4,7,36,822.82
4,7,37,609.11
4,7,38,616.32
4,7,39,672.7
4,7,40,754.69
4,7,41,865.42
4,7,42,421.0092307692308
4,7,43,708.88
4,8,44,723.34
4,8,45,682.83
4,8,46,653.52
4,8,47,421.0092307692308
4,8,48,693.4
4,8,49,656.15
4,8,50,565.18
4,8,51,600.37
4,8,52,641.21
4,8,53,551.22
4,8,54,448.23
4,8,55,425.51
4,8,56,421.0092307692308
4,9,57,535.92
4,9,58,421.0092307692308
4,9,59,576.97
4,9,60,751.95
4,9,61,732.23
4,9,62,742.89
4,9,63,805.1
4,10,64,789.59
4,10,65,777.21
4,10,66,916.33
4,10,67,1349.82
4,10,68,911.12
4,10,69,1233.01
4,10,70,621.32
4,10,71,864.09
4,10,72,790.58
4,10,73,692.67
1,1,1,13.5
1,1,2,14.14
1,1,3,19.46
1,1,4,15.01
1,2,5,12.77
1,2,6,13.04
1,2,7,12.82
1,2,8,13.24
1,2,9,13.01
1,2,10,12.38
1,3,11,13.02
1,3,12,421.0092307692308
1,3,13,9.88
1,3,14,12.59
1,3,15,12.36
1,3,16,10.86
1,3,17,12.91
1,3,18,12.96
1,4,19,13.63
1,4,20,13.15
1,4,21,16.05
1,5,22,10.12
1,5,23,16.28
1,5,24,16.12
1,5,25,14.6
1,5,26,14.06
1,5,27,14.97
1,6,28,14.1
1,6,29,11.96
1,6,30,12.48
1,6,31,14.89
1,6,32,12.92
1,7,33,12.66
1,7,34,11.85
1,7,35,12.28
1,7,36,14.94
1,7,37,11.46
1,7,38,10.71
1,7,39,8.96
1,7,40,12.97
1,7,41,11.69
1,7,42,421.0092307692308
1,7,43,11.24
1,8,44,11.22
1,8,45,10.21
1,8,46,10.32
1,8,47,421.0092307692308
1,8,48,9.13
1,8,49,8.05
1,8,50,9.41
1,8,51,11.3
1,8,52,11.61
1,8,53,10.02
1,8,54,7.26
1,8,55,7.93
1,8,56,421.0092307692308
1,9,57,9.4
1,9,58,421.0092307692308
1,9,59,9.21
1,9,60,12.43
1,9,61,9.8
1,9,62,11.23
1,9,63,10.4
1,10,64,12.89
1,10,65,12.26
1,10,66,13.06
1,10,67,16.26
1,10,68,13.35
1,10,69,15.79
1,10,70,9.52
1,10,71,13.25
1,10,72,10.54
1,10,73,10.03
2,1,1,13.69
2,1,2,13.78
2,1,3,19.87
2,1,4,15.99
2,2,5,12.59
2,2,6,13.34
2,2,7,13.83
2,2,8,13.51
2,2,9,13.34
2,2,10,12.79
2,3,11,13.95
2,3,12,421.0092307692308
2,3,13,9.86
2,3,14,12.39
2,3,15,12.33
2,3,16,11.89
2,3,17,12.97
2,3,18,12.85
2,4,19,14.23
2,4,20,13.17
2,4,21,16.76
2,5,22,17.35
2,5,23,17.93
2,5,24,16.76
2,5,25,14.71
2,5,26,14.76
2,5,27,13.99
2,6,28,14.39
2,6,29,11.81
2,6,30,12.24
2,6,31,14.85
2,6,32,13.83
2,7,33,12.17
2,7,34,12.6
2,7,35,11.81
2,7,36,12.28
2,7,37,10.53
2,7,38,11.61
2,7,39,9.48
2,7,40,10.84
2,7,41,11.54
2,7,42,421.0092307692308
2,7,43,11.65
2,8,44,11.0
2,8,45,10.75
2,8,46,10.42
2,8,47,11.68
2,8,48,8.88
2,8,49,8.68
2,8,50,10.11
2,8,51,10.49
2,8,52,10.82
2,8,53,10.69
2,8,54,421.0092307692308
2,8,55,7.54
2,8,56,4.45
2,9,57,7.44
2,9,58,421.0092307692308
2,9,59,10.15
2,9,60,11.93
2,9,61,10.53
2,9,62,11.14
2,9,63,12.08
2,10,64,12.79
2,10,65,12.28
2,10,66,14.21
2,10,67,18.51
2,10,68,13.99
2,10,69,15.71
2,10,70,9.92
2,10,71,13.38
2,10,72,11.11
2,10,73,9.85
3,1,1,13.97
3,1,2,14.43
3,1,3,19.72
3,1,4,16.16
3,2,5,13.44
3,2,6,13.82
3,2,7,13.41
3,2,8,14.02
3,2,9,13.8
3,2,10,13.16
3,3,11,13.52
3,3,12,421.0092307692308
3,3,13,10.89
3,3,14,13.48
3,3,15,13.55
3,3,16,12.87
3,3,17,13.4
3,3,18,13.31
3,4,19,14.66
3,4,20,13.6
3,4,21,16.54
3,5,22,20.61
3,5,23,18.26
3,5,24,16.07
3,5,25,15.77
3,5,26,14.95
3,5,27,15.01
3,6,28,14.05
3,6,29,14.16
3,6,30,13.52
3,6,31,15.2
3,6,32,13.97
3,7,33,13.12
3,7,34,12.49
3,7,35,12.58
3,7,36,13.15
3,7,37,10.93
3,7,38,10.91
3,7,39,9.96
3,7,40,12.83
3,7,41,12.02
3,7,42,421.0092307692308
3,7,43,11.39
3,8,44,11.62
3,8,45,11.08
3,8,46,10.46
3,8,47,421.0092307692308
3,8,48,9.51
3,8,49,8.79
3,8,50,10.22
3,8,51,10.93
3,8,52,11.2
3,8,53,10.87
3,8,54,6.84
3,8,55,7.38
3,8,56,421.0092307692308
3,9,57,9.94
3,9,58,421.0092307692308
3,9,59,9.64
3,9,60,12.5
3,9,61,11.19
3,9,62,11.97
3,9,63,11.48
3,10,64,12.84
3,10,65,12.72
3,10,66,14.45
3,10,67,15.97
3,10,68,14.23
3,10,69,16.22
3,10,70,10.03
3,10,71,12.64
3,10,72,11.09
3,10,73,10.4
4,1,1,14.42
4,1,2,14.41
4,1,3,20.33
4,1,4,15.66
4,2,5,13.54
4,2,6,13.13
4,2,7,13.95
4,2,8,13.96
4,2,9,13.86
4,2,10,13.46
4,3,11,14.12
4,3,12,421.0092307692308
4,3,13,10.73
4,3,14,13.34
4,3,15,13.19
4,3,16,11.96
4,3,17,13.29
4,3,18,13.49
4,4,19,14.65
4,4,20,13.44
4,4,21,15.22
4,5,22,18.56
4,5,23,17.32
4,5,24,18.38
4,5,25,16.19
4,5,26,14.64
4,5,27,15.32
4,6,28,13.97
4,6,29,11.7
4,6,30,11.55
4,6,31,15.07
4,6,32,13.48
4,7,33,12.37
4,7,34,12.63
4,7,35,12.48
4,7,36,12.31
4,7,37,11.14
4,7,38,11.41
4,7,39,9.52
4,7,40,13.54
4,7,41,12.93
4,7,42,421.0092307692308
4,7,43,12.29
4,8,44,11.57
4,8,45,11.01
4,8,46,11.09
4,8,47,421.0092307692308
4,8,48,9.83
4,8,49,8.96
4,8,50,10.86
4,8,51,11.68
4,8,52,11.44
4,8,53,10.81
4,8,54,7.17
4,8,55,7.55
4,8,56,421.0092307692308
4,9,57,10.14
4,9,58,421.0092307692308
4,9,59,8.79
4,9,60,12.44
4,9,61,11.69
4,9,62,11.15
4,9,63,11.69
4,10,64,13.26
4,10,65,12.47
4,10,66,13.38
4,10,67,17.65
4,10,68,14.21
4,10,69,16.51
4,10,70,10.4
4,10,71,12.66
4,10,72,10.83
4,10,73,10.38
